,Player,Team,Country,Assists p90,xA p90,Mins
0,Giovanni Di Lorenzo,Napoli,it ITA,0.0,0.03,1080
1,Mário Rui,Napoli,it ITA,0.17,0.09,1069
2,Fabián Ruiz Peña,Napoli,it ITA,0.17,0.09,1041
3,Kalidou Koulibaly,Napoli,it ITA,0.09,0.01,976
4,Lorenzo Insigne,Napoli,it ITA,0.22,0.26,828
5,David Ospina,Napoli,it ITA,0.0,0.0,900
6,Andre-Frank Zambo Anguissa,Napoli,it ITA,0.0,0.08,879
7,Victor Osimhen,Napoli,it ITA,0.0,0.09,789
8,Amir Rrahmani,Napoli,it ITA,0.0,0.01,767
9,Matteo Politano,Napoli,it ITA,0.13,0.27,709
10,Piotr Zieliński,Napoli,it ITA,0.31,0.2,577
11,Hirving Lozano,Napoli,it ITA,0.37,0.11,490
12,Elif Elmas,Napoli,it ITA,0.17,0.07,534
13,Kostas Manolas,Napoli,it ITA,0.0,0.0,313
14,Stanislav Lobotka,Napoli,it ITA,0.0,0.0,180
15,Alex Meret,Napoli,it ITA,0.0,0.0,180
16,Dries Mertens,Napoli,it ITA,0.0,0.06,117
17,Juan Jesus,Napoli,it ITA,0.0,0.0,104
18,Adam Ounas,Napoli,it ITA,0.0,0.15,105
19,Andrea Petagna,Napoli,it ITA,0.0,0.2,89
20,Diego Demme,Napoli,it ITA,0.0,0.19,40
21,Gianluca Gaetano,Napoli,it ITA,0.0,0.0,20
22,Alessandro Zanoli,Napoli,it ITA,0.0,0.0,6
23,Faouzi Ghoulam,Napoli,it ITA,0.0,0.0,4
24,Kévin Malcuit,Napoli,it ITA,0.0,0.0,1
25,Hubert Idasiak,Napoli,it ITA,0.0,0.0,0
26,Davide Marfella,Napoli,it ITA,0.0,0.0,0
27,Luca Palmiero,Napoli,it ITA,0.0,0.0,0
28,Fikayo Tomori,Milan,it ITA,0.0,0.0,1022
29,Rafael Leão,Milan,it ITA,0.1,0.09,876
30,Sandro Tonali,Milan,it ITA,0.11,0.1,799
31,Davide Calabria,Milan,it ITA,0.11,0.07,826
32,Alexis Saelemaekers,Milan,it ITA,0.25,0.23,730
33,Franck Kessié,Milan,it ITA,0.0,0.03,664
34,Theo Hernández,Milan,it ITA,0.27,0.22,671
35,Mike Maignan,Milan,it ITA,0.0,0.02,630
36,Simon Kjær,Milan,it ITA,0.0,0.0,619
37,Brahim Díaz,Milan,it ITA,0.17,0.09,539
38,Alessio Romagnoli,Milan,it ITA,0.0,0.0,513
39,Rade Krunić,Milan,it ITA,0.18,0.06,507
40,Ante Rebić,Milan,it ITA,0.36,0.5,500
41,Olivier Giroud,Milan,it ITA,0.0,0.21,455
42,Ciprian Tătărușanu,Milan,it ITA,0.0,0.0,450
43,Ismaël Bennacer,Milan,it ITA,0.18,0.15,509
44,Fodé Ballo-Touré,Milan,it ITA,0.0,0.02,322
45,Pierre Kalulu,Milan,it ITA,0.29,0.05,313
46,Zlatan Ibrahimović,Milan,it ITA,0.31,0.11,286
47,Alessandro Florenzi,Milan,it ITA,0.0,0.01,179
48,Daniel Maldini,Milan,it ITA,0.0,0.06,110
49,Samu Castillejo,Milan,it ITA,0.0,0.04,91
50,Matteo Gabbia,Milan,it ITA,0.0,0.0,58
51,Tiemoué Bakayoko,Milan,it ITA,0.0,0.02,106
52,Pietro Pellegri,Milan,it ITA,0.0,0.55,63
53,Junior Messias,Milan,it ITA,0.0,0.0,17
54,Andrea Conti,Milan,it ITA,0.0,0.0,0
55,Andreas Jungdal,Milan,it ITA,0.0,0.0,0
56,Antonio Mirante,Milan,it ITA,0.0,0.0,0
57,Alessandro Plizzari,Milan,it ITA,0.0,0.0,0
58,Tommaso Pobega,Milan,it ITA,0.0,0.0,0
59,Kylian Mbappé,Paris S-G,fr FRA,0.6,0.31,1048
60,Presnel Kimpembe,Paris S-G,fr FRA,0.0,0.01,995
61,Achraf Hakimi,Paris S-G,fr FRA,0.2,0.2,881
62,Marquinhos,Paris S-G,fr FRA,0.0,0.01,810
63,Ander Herrera,Paris S-G,fr FRA,0.24,0.13,762
64,Thilo Kehrer,Paris S-G,fr FRA,0.0,0.0,743
65,Keylor Navas,Paris S-G,fr FRA,0.0,0.0,720
66,Neymar,Paris S-G,fr FRA,0.4,0.38,672
67,Idrissa Gana Gueye,Paris S-G,fr FRA,0.0,0.11,648
68,Georginio Wijnaldum,Paris S-G,fr FRA,0.14,0.19,635
69,Abdou Diallo,Paris S-G,fr FRA,0.15,0.08,586
70,Danilo Pereira,Paris S-G,fr FRA,0.0,0.0,587
71,Ángel Di María,Paris S-G,fr FRA,0.52,0.37,523
72,Mauro Icardi,Paris S-G,fr FRA,0.0,0.06,531
73,Gianluigi Donnarumma,Paris S-G,fr FRA,0.0,0.0,450
74,Marco Verratti,Paris S-G,fr FRA,0.0,0.05,354
75,Nuno Mendes,Paris S-G,fr FRA,0.0,0.06,408
76,Julian Draxler,Paris S-G,fr FRA,0.24,0.23,371
